protein,seq_len,has_annotation,all_sites_safe,any_site_at_risk,max_site_pos,is_long,keep,reason
O15530,556,,,,,False,True,kept
P19327,422,,,,,False,True,kept
P22607,806,,,,,False,True,kept
O00255,610,,,,,False,True,kept
Q96RR4,588,,,,,False,True,kept
P04626,1255,True,True,False,845.0,True,True,kept
P03372,595,,,,,False,True,kept
P09960,611,,,,,False,True,kept
P07550,413,,,,,False,True,kept
P36897,503,,,,,False,True,kept
Q9NY57,414,,,,,False,True,kept
Q9H5I1,410,,,,,False,True,kept
Q02127,395,,,,,False,True,kept
Q95323,312,,,,,False,True,kept
Q52WX2,424,,,,,False,True,kept
Q8IY84,436,,,,,False,True,kept
P50750,372,,,,,False,True,kept
O70196,710,,,,,False,True,kept
P17252,672,,,,,False,True,kept
P11473,427,,,,,False,True,kept
P21802,821,,,,,False,True,kept
P00797,406,,,,,False,True,kept
Q86V86,326,,,,,False,True,kept
Q9H7B4,428,,,,,False,True,kept
P9WID4,324,,,,,False,True,kept
P06241,537,,,,,False,True,kept
P00918,260,,,,,False,True,kept
P09769,529,,,,,False,True,kept
Q16875,520,,,,,False,True,kept
P00734,622,,,,,False,True,kept
P00533,1210,True,True,False,855.0,True,True,kept
P51451,505,,,,,False,True,kept
Q9HAZ1,481,,,,,False,True,kept
Q9Y463,629,,,,,False,True,kept
P16277,499,,,,,False,True,kept
P54833,415,,,,,False,True,kept
P28482,360,,,,,False,True,kept
P00750,562,,,,,False,True,kept
O19045,490,,,,,False,True,kept
Q96PF2,358,,,,,False,True,kept
Q9BXA7,367,,,,,False,True,kept
P22455,802,,,,,False,True,kept
P45984,424,,,,,False,True,kept
P42680,631,,,,,False,True,kept
P15917,809,,,,,False,True,kept
P78368,415,,,,,False,True,kept
P08238,724,,,,,False,True,kept
Q13133,447,,,,,False,True,kept
P23443,525,,,,,False,True,kept
P10721,976,,,,,False,True,kept
P03952,638,,,,,False,True,kept
Q13177,524,,,,,False,True,kept
Q96SW2,442,,,,,False,True,kept
P35968,1356,True,False,True,1028.0,True,False,dropped: binding site beyond 1022 aa
P43403,619,,,,,False,True,kept
P0A0K8,644,,,,,False,True,kept
P37023,503,,,,,False,True,kept
P18031,435,,,,,False,True,kept
P42685,505,,,,,False,True,kept
Q86UE8,772,,,,,False,True,kept
Q61241,365,,,,,False,True,kept
P0C559,675,,,,,False,True,kept
Q8N5S9,505,,,,,False,True,kept
P07900,732,,,,,False,True,kept
P54760,987,,,,,False,True,kept
Q9BYT3,514,,,,,False,True,kept
P24527,611,,,,,False,True,kept
Q96RI1,486,,,,,False,True,kept
Q15759,364,,,,,False,True,kept
P05771,671,,,,,False,True,kept
P29274,412,,,,,False,True,kept
Q42656,378,,,,,False,True,kept
Q02156,737,,,,,False,True,kept
P49674,416,,,,,False,True,kept
P16234,1089,True,True,False,818.0,True,True,kept
P29376,864,,,,,False,True,kept
P06494,1257,True,True,False,847.0,True,True,kept
P54762,984,,,,,False,True,kept
Q06486,415,,,,,False,True,kept
Q16620,822,,,,,False,True,kept
Q16288,839,,,,,False,True,kept
P05480,535,,,,,False,True,kept
P08709,466,,,,,False,True,kept
P07947,543,,,,,False,True,kept
P51813,675,,,,,False,True,kept
P24941,298,,,,,False,True,kept
Q8WTS6,366,,,,,False,True,kept
Q59H18,835,,,,,False,True,kept
P35916,1363,True,False,True,1037.0,True,False,dropped: binding site beyond 1022 aa
P09619,1106,True,True,False,826.0,True,True,kept
Q96C86,337,,,,,False,True,kept
P45983,427,,,,,False,True,kept
Q9BUB5,465,,,,,False,True,kept
O43781,588,,,,,False,True,kept
P11103,1013,,,,,False,True,kept
P47811,360,,,,,False,True,kept
Q9P289,416,,,,,False,True,kept
Q13188,491,,,,,False,True,kept
Q13043,487,,,,,False,True,kept
O15379,428,,,,,False,True,kept
Q920D2,187,,,,,False,True,kept
P11214,559,,,,,False,True,kept
P07949,1114,True,True,False,874.0,True,True,kept
Q04759,706,,,,,False,True,kept
P19971,482,,,,,False,True,kept
O43353,540,,,,,False,True,kept
P56819,501,,,,,False,True,kept
Q54A96,569,,,,,False,True,kept
Q86U44,580,,,,,False,True,kept
Q8TDC3,778,,,,,False,True,kept
P06211,600,,,,,False,True,kept
P06479,376,,,,,False,True,kept
P05129,697,,,,,False,True,kept
P48730,415,,,,,False,True,kept
O94768,372,,,,,False,True,kept
P49760,499,,,,,False,True,kept
P04183,234,,,,,False,True,kept
P27037,513,,,,,False,True,kept
P04049,648,,,,,False,True,kept
A3RLP8,370,,,,,False,True,kept
Q9H093,628,,,,,False,True,kept
P17948,1338,True,True,False,1022.0,True,True,kept
P68825,183,,,,,False,True,kept
Q05655,676,,,,,False,True,kept
P10275,920,,,,,False,True,kept
P31749,480,,,,,False,True,kept
P49336,464,,,,,False,True,kept
P48729,337,,,,,False,True,kept
P31751,481,,,,,False,True,kept
P49286,362,,,,,False,True,kept
P28564,386,,,,,False,True,kept
P54753,998,,,,,False,True,kept
O76083,593,,,,,False,True,kept
Q86X55,608,,,,,False,True,kept
Q9UNA0,930,,,,,False,True,kept
Q9JL18,514,,,,,False,True,kept
P0ABQ4,159,,,,,False,True,kept
Q28037,426,,,,,False,True,kept
Q86Y97,462,,,,,False,True,kept
P9WKE1,214,,,,,False,True,kept
Q14416,872,,,,,False,True,kept
P42679,507,,,,,False,True,kept
P25099,326,,,,,False,True,kept
Q08345,913,,,,,False,True,kept
O60678,531,,,,,False,True,kept
Q13627,763,,,,,False,True,kept
P12081,509,,,,,False,True,kept
P04062,536,,,,,False,True,kept
Q8IW41,473,,,,,False,True,kept
O00506,426,,,,,False,True,kept
P49759,484,,,,,False,True,kept
Q8N5Y8,322,,,,,False,True,kept
P10482,455,,,,,False,True,kept
Q16512,942,,,,,False,True,kept
Q13153,545,,,,,False,True,kept
Q6PHR2,472,,,,,False,True,kept
P00740,461,,,,,False,True,kept
O00408,941,,,,,False,True,kept
P57059,783,,,,,False,True,kept
P08253,660,,,,,False,True,kept
P0AF14,232,,,,,False,True,kept
P00491,289,,,,,False,True,kept
Q8TD08,544,,,,,False,True,kept
O75914,559,,,,,False,True,kept
P36896,505,,,,,False,True,kept
Q9UEW8,545,,,,,False,True,kept
Q6XUX3,929,,,,,False,True,kept
O42392,451,,,,,False,True,kept
P56192,900,,,,,False,True,kept
P10398,606,,,,,False,True,kept
Q16513,984,,,,,False,True,kept
P14625,803,,,,,False,True,kept
Q6B0I6,523,,,,,False,True,kept
P06240,509,,,,,False,True,kept
P10276,462,,,,,False,True,kept
P00921,260,,,,,False,True,kept
P08581,1390,True,False,True,1204.0,True,False,dropped: binding site beyond 1022 aa
P17706,415,,,,,False,True,kept
P14780,707,,,,,False,True,kept
Q14680,651,,,,,False,True,kept
Q7Z3E1,657,,,,,False,True,kept
P0AC13,282,,,,,False,True,kept
P53634,463,,,,,False,True,kept
P16184,206,,,,,False,True,kept
P15056,766,,,,,False,True,kept
Q02763,1124,True,True,False,964.0,True,True,kept
Q9JHG7,1102,True,True,False,961.0,True,True,kept
P27361,379,,,,,False,True,kept
Q16566,473,,,,,False,True,kept
Q03181,441,,,,,False,True,kept
P53341,584,,,,,False,True,kept
P55859,289,,,,,False,True,kept
Q9HBH9,465,,,,,False,True,kept
Q9WUI1,364,,,,,False,True,kept
P35218,305,,,,,False,True,kept
Q8NE63,616,,,,,False,True,kept
O00142,265,,,,,False,True,kept
P41148,804,,,,,False,True,kept
P29466,404,,,,,False,True,kept
P07333,972,,,,,False,True,kept
Q92630,601,,,,,False,True,kept
O43463,412,,,,,False,True,kept
P42681,527,,,,,False,True,kept
P51817,358,,,,,False,True,kept
Q07912,1038,True,True,False,252.0,True,True,kept
P00558,417,,,,,False,True,kept
P30543,410,,,,,False,True,kept
Q9UEE5,414,,,,,False,True,kept
Q8IWQ3,736,,,,,False,True,kept
P22894,467,,,,,False,True,kept
P37173,567,,,,,False,True,kept
P15735,406,,,,,False,True,kept
O96013,591,,,,,False,True,kept
Q9BWU1,502,,,,,False,True,kept
Q9QZN9,360,,,,,False,True,kept
Q8K4Z4,418,,,,,False,True,kept
P0A873,255,,,,,False,True,kept
P23975,617,,,,,False,True,kept
Q04771,509,,,,,False,True,kept
Q08881,620,,,,,False,True,kept
P15207,902,,,,,False,True,kept
P36888,993,,,,,False,True,kept
P18113,461,,,,,False,True,kept
Q07343,736,,,,,False,True,kept
Q86SG6,692,,,,,False,True,kept
O75173,837,,,,,False,True,kept
P85973,289,,,,,False,True,kept
Q16790,459,,,,,False,True,kept
Q14164,716,,,,,False,True,kept
P10828,461,,,,,False,True,kept
P21709,976,,,,,False,True,kept
Q9KPI8,231,,,,,False,True,kept
P13631,454,,,,,False,True,kept
Q13164,816,,,,,False,True,kept
Q70CQ3,517,,,,,False,True,kept
P9WJM9,414,,,,,False,True,kept
O95271,1327,True,False,True,1245.0,True,False,dropped: binding site beyond 1022 aa
Q9NR21,338,,,,,False,True,kept
O60285,661,,,,,False,True,kept
A0A0E7NXW5,323,,,,,False,True,kept
P36507,400,,,,,False,True,kept
P16591,822,,,,,False,True,kept
P0A4L9,648,,,,,False,True,kept
Q9UBE8,527,,,,,False,True,kept
Q07869,468,,,,,False,True,kept
Q16644,382,,,,,False,True,kept
P07339,412,,,,,False,True,kept
Q00534,326,,,,,False,True,kept
P17164,462,,,,,False,True,kept
Q9UKI8,766,,,,,False,True,kept
P41240,450,,,,,False,True,kept
Q9NYL2,800,,,,,False,True,kept
Q15303,1308,True,True,False,843.0,True,True,kept
P54756,1037,True,True,False,800.0,True,True,kept
P08246,267,,,,,False,True,kept
Q96L34,752,,,,,False,True,kept
Q9UGL1,1544,True,True,False,587.0,True,True,kept
P51617,712,,,,,False,True,kept
P50747,726,,,,,False,True,kept
B0FL73,467,,,,,False,True,kept
Q2KHZ8,536,,,,,False,True,kept
Q13557,499,,,,,False,True,kept
P10826,455,,,,,False,True,kept
P43236,329,,,,,False,True,kept
Q99873,371,,,,,False,True,kept
P04066,466,,,,,False,True,kept
P13945,408,,,,,False,True,kept
P58801,539,,,,,False,True,kept
P63319,697,,,,,False,True,kept
P17612,351,,,,,False,True,kept
A0A059UE90,419,,,,,False,True,kept
P28028,751,,,,,False,True,kept
O60825,505,,,,,False,True,kept
P09467,338,,,,,False,True,kept
Q8IVH8,894,,,,,False,True,kept
Q12851,820,,,,,False,True,kept
P18090,466,,,,,False,True,kept
P40261,264,,,,,False,True,kept
Q9UQM7,478,,,,,False,True,kept
P05622,1098,True,True,False,825.0,True,True,kept
Q9FYV8,544,,,,,False,True,kept
Q5GIT4,1357,True,False,True,1039.0,True,False,dropped: binding site beyond 1022 aa
P50579,478,,,,,False,True,kept
P29323,1055,True,True,False,746.0,True,True,kept
Q9UM73,1620,True,False,True,1270.0,True,False,dropped: binding site beyond 1022 aa
P54764,986,,,,,False,True,kept
Q4U254,401,,,,,False,True,kept
Q13163,448,,,,,False,True,kept
P63085,358,,,,,False,True,kept
P46734,347,,,,,False,True,kept
P07477,247,,,,,False,True,kept
Q8IBS5,528,,,,,False,True,kept
P37231,505,,,,,False,True,kept
P53667,647,,,,,False,True,kept
P53609,377,,,,,False,True,kept
O35435,395,,,,,False,True,kept
P33981,857,,,,,False,True,kept
P08659,550,,,,,False,True,kept
P07650,440,,,,,False,True,kept
P35398,523,,,,,False,True,kept
Q13822,863,,,,,False,True,kept
Q9GZT9,426,,,,,False,True,kept
Q6P2M8,343,,,,,False,True,kept
P48039,350,,,,,False,True,kept
P00760,246,,,,,False,True,kept
Q9UPE1,567,,,,,False,True,kept
P08588,477,,,,,False,True,kept
Q13546,671,,,,,False,True,kept
Q99759,626,,,,,False,True,kept
Q16816,387,,,,,False,True,kept
P27791,351,,,,,False,True,kept
P98170,497,,,,,False,True,kept
P43235,329,,,,,False,True,kept
Q01959,620,,,,,False,True,kept
G3V783,539,,,,,False,True,kept
O70526,372,,,,,False,True,kept
Q2KIM0,468,,,,,False,True,kept
Q9NRA0,654,,,,,False,True,kept
Q08499,809,,,,,False,True,kept
P33435,472,,,,,False,True,kept
Q5S255,660,,,,,False,True,kept
P28222,390,,,,,False,True,kept
O77636,833,,,,,False,True,kept
P00747,810,,,,,False,True,kept
Q99705,353,,,,,False,True,kept
P35917,1363,True,False,True,1037.0,True,False,dropped: binding site beyond 1022 aa
P00956,938,,,,,False,True,kept
P53778,367,,,,,False,True,kept
P05981,417,,,,,False,True,kept
Q9Y4K4,846,,,,,False,True,kept
P68826,183,,,,,False,True,kept
Q2NL67,630,,,,,False,True,kept
P07711,333,,,,,False,True,kept
P04150,777,,,,,False,True,kept
Q13555,558,,,,,False,True,kept
P50613,346,,,,,False,True,kept
Q9UQB9,309,,,,,False,True,kept
Q9Y2U5,619,,,,,False,True,kept
P07332,822,,,,,False,True,kept
P33905,234,,,,,False,True,kept
Q96BR1,496,,,,,False,True,kept
P24723,683,,,,,False,True,kept
A4TVL0,124,,,,,False,True,kept
B2RXH2,506,,,,,False,True,kept
P78536,824,,,,,False,True,kept
A5K1N1,572,,,,,False,True,kept
Q13131,559,,,,,False,True,kept
P14743,455,,,,,False,True,kept
P51955,445,,,,,False,True,kept
P41144,380,,,,,False,True,kept
P21728,446,,,,,False,True,kept
P19525,551,,,,,False,True,kept
P06493,297,,,,,False,True,kept
O70444,326,,,,,False,True,kept
P22612,351,,,,,False,True,kept
Q9UBF8,816,,,,,False,True,kept
Q93SQ1,453,,,,,False,True,kept
P11802,303,,,,,False,True,kept
P00784,345,,,,,False,True,kept
Q9QUR6,710,,,,,False,True,kept
P31645,630,,,,,False,True,kept
P35918,1345,True,False,True,1026.0,True,False,dropped: binding site beyond 1022 aa
P08482,460,,,,,False,True,kept
P16116,315,,,,,False,True,kept
P53671,638,,,,,False,True,kept
P51956,506,,,,,False,True,kept
P52624,311,,,,,False,True,kept
Q9QNF7,376,,,,,False,True,kept
Q9NR20,520,,,,,False,True,kept
P28335,458,,,,,False,True,kept
P09250,341,,,,,False,True,kept
P49137,400,,,,,False,True,kept
P00959,677,,,,,False,True,kept
Q6P988,496,,,,,False,True,kept
Q8N3A8,854,,,,,False,True,kept
P21918,477,,,,,False,True,kept
P03956,469,,,,,False,True,kept
P17931,250,,,,,False,True,kept
Q9XZT6,250,,,,,False,True,kept
P05696,672,,,,,False,True,kept
Q9TSZ1,400,,,,,False,True,kept
Q06418,890,,,,,False,True,kept
P25105,342,,,,,False,True,kept
Q8IU85,385,,,,,False,True,kept
P35439,938,,,,,False,True,kept
Q96SB4,655,,,,,False,True,kept
Q92918,833,,,,,False,True,kept
Q14012,370,,,,,False,True,kept
Q99640,499,,,,,False,True,kept
Q9H0K1,926,,,,,False,True,kept
P30551,444,,,,,False,True,kept
Q15910,746,,,,,False,True,kept
P00748,615,,,,,False,True,kept
P00749,431,,,,,False,True,kept
P31652,630,,,,,False,True,kept
P08912,532,,,,,False,True,kept
P70618,360,,,,,False,True,kept
Q9UBC3,853,,,,,False,True,kept
Q08493,712,,,,,False,True,kept
Q8IXJ6,389,,,,,False,True,kept
Q16832,855,,,,,False,True,kept
Q02790,459,,,,,False,True,kept
P41595,481,,,,,False,True,kept
Q08210,569,,,,,False,True,kept
P68400,391,,,,,False,True,kept
P78362,688,,,,,False,True,kept
Q16584,847,,,,,False,True,kept
Q9C0B1,505,,,,,False,True,kept
Q9NQU5,681,,,,,False,True,kept
P20083,630,,,,,False,True,kept
Q8NEB9,887,,,,,False,True,kept
P40337,213,,,,,False,True,kept
Q28044,418,,,,,False,True,kept
P23977,619,,,,,False,True,kept
P61169,444,,,,,False,True,kept
Q7X1P7,638,,,,,False,True,kept
Q13882,451,,,,,False,True,kept
Q96KB5,322,,,,,False,True,kept
Q96PN8,268,,,,,False,True,kept
G3V673,927,,,,,False,True,kept
P29317,976,,,,,False,True,kept
P0A725,305,,,,,False,True,kept
Q9Y243,479,,,,,False,True,kept
P09668,335,,,,,False,True,kept
Q9UIK4,370,,,,,False,True,kept
O00141,431,,,,,False,True,kept
Q9H3R0,1056,True,True,False,310.0,True,True,kept
Q14790,479,,,,,False,True,kept
O14920,756,,,,,False,True,kept
Q9NRG4,433,,,,,False,True,kept
Q96EB6,747,,,,,False,True,kept
Q8I6Z5,590,,,,,False,True,kept
Q9UDY8,824,,,,,False,True,kept
O15111,745,,,,,False,True,kept
Q9BZL6,878,,,,,False,True,kept
P22694,351,,,,,False,True,kept
P08173,479,,,,,False,True,kept
O60674,1132,True,True,False,976.0,True,True,kept
Q8NG66,645,,,,,False,True,kept
P00374,187,,,,,False,True,kept
O35678,303,,,,,False,True,kept
P27448,753,,,,,False,True,kept
P08911,531,,,,,False,True,kept
P41594,1212,True,True,False,396.0,True,True,kept
Q15562,447,,,,,False,True,kept
P08908,422,,,,,False,True,kept
P36894,532,,,,,False,True,kept
Q12931,704,,,,,False,True,kept
P36639,156,,,,,False,True,kept
Q92876,244,,,,,False,True,kept
Q9P286,719,,,,,False,True,kept
P32871,1068,False,,,,True,False,dropped: no UniProt annotation
O15264,365,,,,,False,True,kept
P17752,444,,,,,False,True,kept
P0C1S7,663,,,,,False,True,kept
P06401,933,,,,,False,True,kept
P45985,399,,,,,False,True,kept
P22518,483,,,,,False,True,kept
P07807,211,,,,,False,True,kept
P05093,508,,,,,False,True,kept
P07451,260,,,,,False,True,kept
O15146,869,,,,,False,True,kept
Q01279,1210,True,True,False,857.0,True,True,kept
P41226,1012,,,,,False,True,kept
O60341,852,,,,,False,True,kept
P35991,659,,,,,False,True,kept
O35493,481,,,,,False,True,kept
P61964,334,,,,,False,True,kept
O43293,454,,,,,False,True,kept
P19784,350,,,,,False,True,kept
P28347,426,,,,,False,True,kept
Q9H0J9,701,,,,,False,True,kept
P12746,250,,,,,False,True,kept
Q13093,441,,,,,False,True,kept
Q63707,395,,,,,False,True,kept
P23097,466,,,,,False,True,kept
P13995,350,,,,,False,True,kept
P00735,625,,,,,False,True,kept
Q99558,947,,,,,False,True,kept
P18911,458,,,,,False,True,kept
P34972,360,,,,,False,True,kept
O14672,748,,,,,False,True,kept
Q9Y251,543,,,,,False,True,kept
P07308,358,,,,,False,True,kept
Q6P5Z2,889,,,,,False,True,kept
P29322,1005,,,,,False,True,kept
Q9UPZ9,632,,,,,False,True,kept
P20794,623,,,,,False,True,kept
P00751,764,,,,,False,True,kept
P04070,461,,,,,False,True,kept
A3EZJ3,631,,,,,False,True,kept
Q15139,912,,,,,False,True,kept
Q9WTR4,597,,,,,False,True,kept
P30542,326,,,,,False,True,kept
Q8IVW4,592,,,,,False,True,kept
P00743,492,,,,,False,True,kept
Q86YV6,388,,,,,False,True,kept
Q04756,655,,,,,False,True,kept
P21917,419,,,,,False,True,kept
Q00526,305,,,,,False,True,kept
P62508,458,,,,,False,True,kept
P30530,894,,,,,False,True,kept
Q9F2F0,203,,,,,False,True,kept
P18292,617,,,,,False,True,kept
P27008,1014,,,,,False,True,kept
Q99808,456,,,,,False,True,kept
Q13126,283,,,,,False,True,kept
Q00535,292,,,,,False,True,kept
P19091,899,,,,,False,True,kept
P50406,440,,,,,False,True,kept
Q8ILW6,410,,,,,False,True,kept
Q99594,435,,,,,False,True,kept
Q15561,434,,,,,False,True,kept
P00376,187,,,,,False,True,kept
Q15375,998,,,,,False,True,kept
P07265,584,,,,,False,True,kept
P27815,886,,,,,False,True,kept
P10827,490,,,,,False,True,kept
O94806,890,,,,,False,True,kept
Q13451,457,,,,,False,True,kept
B2LUN4,420,,,,,False,True,kept
P51570,392,,,,,False,True,kept
Q95136,446,,,,,False,True,kept
Q63380,617,,,,,False,True,kept
P22605,482,,,,,False,True,kept
P0AES6,804,,,,,False,True,kept
P49761,638,,,,,False,True,kept
P41229,1560,True,True,False,602.0,True,True,kept
Q9NAW4,492,,,,,False,True,kept
P08254,477,,,,,False,True,kept
P22906,192,,,,,False,True,kept
P35558,622,,,,,False,True,kept
O60911,334,,,,,False,True,kept
P12955,493,,,,,False,True,kept
Q27757,545,,,,,False,True,kept
P22413,925,,,,,False,True,kept
P41143,372,,,,,False,True,kept
P25774,331,,,,,False,True,kept
P11416,462,,,,,False,True,kept
Q9H3Y6,488,,,,,False,True,kept
Q8MMZ8,1003,,,,,False,True,kept
Q05397,1052,True,True,False,546.0,True,True,kept
Q13237,762,,,,,False,True,kept
Q96NX5,476,,,,,False,True,kept
O43318,606,,,,,False,True,kept
Q08752,370,,,,,False,True,kept
O77656,471,,,,,False,True,kept
Q8N6T7,355,,,,,False,True,kept
Q07820,350,,,,,False,True,kept
O95718,433,,,,,False,True,kept
P14842,471,,,,,False,True,kept
O60331,668,,,,,False,True,kept
P28190,326,,,,,False,True,kept
Q07817,233,,,,,False,True,kept
P02550,451,,,,,False,True,kept
P08311,255,,,,,False,True,kept
P49146,381,,,,,False,True,kept
P35462,400,,,,,False,True,kept
P05100,187,,,,,False,True,kept
P00517,351,,,,,False,True,kept
P47205,303,,,,,False,True,kept
P21554,472,,,,,False,True,kept
O14733,419,,,,,False,True,kept
P11229,460,,,,,False,True,kept
P25779,467,,,,,False,True,kept
P00766,245,,,,,False,True,kept
P13159,343,,,,,False,True,kept
P52333,1124,True,True,False,949.0,True,True,kept
Q9N6S8,484,,,,,False,True,kept
Q13490,618,,,,,False,True,kept
P28223,471,,,,,False,True,kept
Q14289,1009,,,,,False,True,kept
P35367,487,,,,,False,True,kept
P32239,447,,,,,False,True,kept
P15108,705,,,,,False,True,kept
P23946,247,,,,,False,True,kept
Q8T9Z7,245,,,,,False,True,kept
Q9BXA6,273,,,,,False,True,kept
P06869,433,,,,,False,True,kept
P23141,567,,,,,False,True,kept
P30419,496,,,,,False,True,kept
Q09013,629,,,,,False,True,kept
P29320,983,,,,,False,True,kept
O76074,875,,,,,False,True,kept
P33535,398,,,,,False,True,kept
P31424,1203,True,True,False,395.0,True,True,kept
Q48435,381,,,,,False,True,kept
Q15120,406,,,,,False,True,kept
O96214,320,,,,,False,True,kept
P35372,400,,,,,False,True,kept
O60502,916,,,,,False,True,kept
P16110,264,,,,,False,True,kept
Q13946,482,,,,,False,True,kept
P34976,359,,,,,False,True,kept
O00444,970,,,,,False,True,kept
O35904,1043,False,,,,True,False,dropped: no UniProt annotation
P42338,1070,False,,,,True,False,dropped: no UniProt annotation
Q388H8,446,,,,,False,True,kept
P42574,277,,,,,False,True,kept
O15229,486,,,,,False,True,kept
P00381,163,,,,,False,True,kept
Q14994,352,,,,,False,True,kept
Q7KZI7,788,,,,,False,True,kept
O70370,340,,,,,False,True,kept
Q9Y233,1055,True,True,False,992.0,True,True,kept
Q9UHI8,967,,,,,False,True,kept
P41279,467,,,,,False,True,kept
Q05513,592,,,,,False,True,kept
P43490,491,,,,,False,True,kept
Q15831,433,,,,,False,True,kept
W7JX98,853,,,,,False,True,kept
Q15722,352,,,,,False,True,kept
Q9Y2T3,454,,,,,False,True,kept
P28565,374,,,,,False,True,kept
Q8WWR8,484,,,,,False,True,kept
P15121,316,,,,,False,True,kept
P28907,300,,,,,False,True,kept
Q00987,491,,,,,False,True,kept
O88867,478,,,,,False,True,kept
O77344,440,,,,,False,True,kept
P48449,732,,,,,False,True,kept
P35396,440,,,,,False,True,kept
P14099,921,,,,,False,True,kept
P00915,261,,,,,False,True,kept
Q63341,465,,,,,False,True,kept
P53051,589,,,,,False,True,kept
Q9H1R3,596,,,,,False,True,kept
Q9Y6E0,443,,,,,False,True,kept
P50416,773,,,,,False,True,kept
P08172,466,,,,,False,True,kept
Q6L709,376,,,,,False,True,kept
P62993,217,,,,,False,True,kept
Q9Y5Y4,395,,,,,False,True,kept
P23458,1154,True,True,False,1003.0,True,True,kept
Q9Y2H1,464,,,,,False,True,kept
A0AVT1,1052,True,True,False,625.0,True,True,kept
O35491,499,,,,,False,True,kept
Q9P0L2,795,,,,,False,True,kept
O88693,394,,,,,False,True,kept
Q13554,666,,,,,False,True,kept
P53355,1430,True,True,False,161.0,True,True,kept
P32198,773,,,,,False,True,kept
O09175,650,,,,,False,True,kept
P23526,432,,,,,False,True,kept
Q15569,626,,,,,False,True,kept
O60658,829,,,,,False,True,kept
Q9MYX0,630,,,,,False,True,kept
P52732,1056,True,True,False,105.0,True,True,kept
Q07422,610,,,,,False,True,kept
P26684,426,,,,,False,True,kept
P23492,289,,,,,False,True,kept
Q6PCB7,646,,,,,False,True,kept
Q91WN4,479,,,,,False,True,kept
O88275,505,,,,,False,True,kept
P08909,460,,,,,False,True,kept
Q9UHD2,729,,,,,False,True,kept
P68403,671,,,,,False,True,kept
Q9H2X6,1198,True,True,False,324.0,True,True,kept
Q9QYJ6,794,,,,,False,True,kept
Q63470,763,,,,,False,True,kept
P34914,554,,,,,False,True,kept
Q7Z5W3,292,,,,,False,True,kept
Q96S53,571,,,,,False,True,kept
O09106,482,,,,,False,True,kept
P00800,548,,,,,False,True,kept
O00418,725,,,,,False,True,kept
O75164,1064,True,True,False,308.0,True,True,kept
P06870,262,,,,,False,True,kept
Q02769,416,,,,,False,True,kept
P29275,332,,,,,False,True,kept
Q8CIP4,752,,,,,False,True,kept
